Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Central Region,90  -  94,"27,543","34,370","36,682","39,597","42,082","46,276","50,096","53,843","56,320","58,966","63,683"
Central Region,Central Region,95  -  99,"9,514","11,341","11,936","12,392","12,886","13,789","15,101","16,083","16,418","17,346","20,994"
Central Region,Central Region,100 and over,"5,354","6,438","7,336","8,143","3,364","4,394","5,228","5,712","6,437","7,358","10,512"
Central Region,Central Region,Unknown/lunar Calendar,282,112,108,103,16,15,14,14,14,13,14
Central Region,Central Region,Population Registered in House Registration and Non  -  Thai nationalities,"88,795","91,135","132,915","171,894","166,535","170,342","173,636","176,101","179,132","183,171",
Central Region,Central Region,Population Registered in Central House Registration,"147,962","157,885","137,603","174,917","186,636","201,035","210,165","212,788","158,317","166,483",
Central Region,Central Region, Transferring population,"43,031","44,655","41,151","48,583","48,957","51,478","51,896","49,698","8,249","6,544",
Central Region,Samut Prakan Province,Total,"1,223,302","1,241,610","1,261,530","1,279,310","1,293,553","1,310,766","1,326,608","1,344,875","1,351,479","1,356,449","1,360,227"
Central Region,Samut Prakan Province,0 - 4,"71,877","71,769","71,956","71,433","70,211","68,136","66,996","65,296","63,199","60,077","59,730"
Central Region,Samut Prakan Province,5-Sep,"74,492","75,068","74,541","74,297","74,904","76,068","75,982","76,333","75,513","73,630","81,945"
Central Region,Samut Prakan Province,Oct-14,"78,406","77,155","77,257","76,574","76,648","76,997","77,280","77,097","76,465","76,337","79,409"
Central Region,Samut Prakan Province,15  -  19,"91,304","91,072","89,806","87,263","83,579","80,206","78,607","78,659","78,150","78,161","78,507"
Central Region,Samut Prakan Province,20  -  24,"79,261","82,622","85,280","88,152","90,219","91,861","91,047","89,568","86,868","83,577","80,353"
Central Region,Samut Prakan Province,25  -  29,"83,906","81,840","82,005","82,234","84,112","87,973","91,483","94,750","97,988","99,891","101,556"
Central Region,Samut Prakan Province,30  -  34,"105,566","104,752","102,623","100,260","97,783","94,241","92,378","93,326","94,203","96,613","100,860"
Central Region,Samut Prakan Province,35  -  39,"109,472","110,904","112,217","113,934","114,214","114,227","114,417","112,996","110,496","107,219","103,894"
Central Region,Samut Prakan Province,40  -  44,"113,730","111,982","111,906","111,193","110,387","111,391","113,074","115,263","117,419","118,135","118,892"
Central Region,Samut Prakan Province,45  -  49,"105,842","108,288","109,604","110,354","112,556","112,551","110,862","110,785","109,876","109,104","110,888"
Central Region,Samut Prakan Province,50  -  54,"88,179","91,852","95,525","98,650","101,039","103,080","105,423","106,589","107,093","109,003","109,317"
Central Region,Samut Prakan Province,55  -  59,"69,126","67,723","71,147","76,087","80,539","84,897","88,805","92,113","94,827","96,437","98,544"
Central Region,Samut Prakan Province,60  -  64,"49,110","53,683","56,215","58,190","59,855","62,551","64,965","68,264","72,828","76,503","80,641"
Central Region,Samut Prakan Province,65  -  69,"30,265","33,290","36,890","40,024","43,460","47,036","50,367","52,857","54,615","55,674","58,446"
Central Region,Samut Prakan Province,70  -  74,"23,884","24,534","24,904","26,124","26,772","28,243","30,097","33,493","36,485","39,083","42,506"
Central Region,Samut Prakan Province,75  -  79,"15,719","17,682","18,796","19,325","20,144","20,430","20,967","21,398","22,470","22,727","24,172"
Central Region,Samut Prakan Province,80  -  84,"9,192","10,334","10,819","11,499","12,289","13,033","13,852","14,739","15,093","15,367","15,773"
Central Region,Samut Prakan Province,85  -  89,"3,988","4,972","5,415","5,702","6,237","6,635","7,029","7,328","7,796","8,261","8,844"
Central Region,Samut Prakan Province,90  -  94,"1,585","1,908","2,020","2,186","2,313","2,575","2,805","3,079","3,336","3,502","3,777"
Central Region,Samut Prakan Province,95  -  99,648,748,766,799,816,853,934,"1,011","1,067","1,080","1,306"
Central Region,Samut Prakan Province,100 and over,682,734,825,895,354,347,388,466,551,634,866
Central Region,Samut Prakan Province,Unknown/lunar Calendar,14,9,9,9,3,2,1,1,1,1,1
Central Region,Samut Prakan Province,Population Registered in House Registration and Non  -  Thai nationalities,"3,458","3,490","10,000","5,047","4,156","4,278","4,415","4,571","4,685","4,696",
Central Region,Samut Prakan Province,Population Registered in Central House Registration,"8,610","9,924","7,556","12,500","14,039","15,685","16,688","16,987","19,764","20,180",
