Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Northeastern Region,Northeastern Region,70  -  74,"473,213","480,398","497,318","515,493","541,940","572,681","611,492","649,573","687,678","716,550","748,604"
Northeastern Region,Northeastern Region,75  -  79,"318,317","337,572","351,714","363,974","376,203","389,427","396,634","411,263","427,202","449,595","477,093"
Northeastern Region,Northeastern Region,80  -  84,"188,206","204,960","213,962","222,596","231,667","238,803","250,273","261,983","271,711","281,367","291,793"
Northeastern Region,Northeastern Region,85  -  89,"78,121","93,048","99,783","106,352","111,644","119,814","127,633","132,885","139,284","145,485","150,418"
Northeastern Region,Northeastern Region,90  -  94,"27,614","31,865","33,078","34,847","36,517","40,612","45,306","48,485","52,002","55,136","58,475"
Northeastern Region,Northeastern Region,95  -  99,"7,942","9,112","9,332","10,024","10,598","11,259","11,958","12,314","12,961","13,882","15,718"
Northeastern Region,Northeastern Region,100 and over,"3,604","3,918","4,304","4,521","2,313","3,059","3,715","3,795","4,509","5,273","6,630"
Northeastern Region,Northeastern Region,Unknown/lunar Calendar,371,79,77,74,22,20,20,18,19,7,7
Northeastern Region,Northeastern Region,Population Registered in House Registration and Non  -  Thai nationalities,"16,803","17,618","22,462","34,261","34,438","36,027","37,356","38,646","41,743","42,646",
Northeastern Region,Northeastern Region,Population Registered in Central House Registration,"186,839","187,220","184,850","188,148","182,814","184,276","186,120","188,718","36,525","44,212",
Northeastern Region,Northeastern Region, Transferring population,"34,734","34,613","33,616","34,245","32,416","31,974","30,049","30,173","7,808","5,528",
Northeastern Region,Nakhon Ratchasima Province,Total,"2,601,167","2,610,164","2,620,517","2,628,818","2,631,435","2,639,226","2,646,401","2,648,927","2,633,207","2,634,154","2,630,058"
Northeastern Region,Nakhon Ratchasima Province,0 - 4,"153,247","150,395","148,279","145,439","140,022","134,288","129,582","123,437","118,519","112,938","107,903"
Northeastern Region,Nakhon Ratchasima Province,5-Sep,"160,413","159,639","157,683","155,171","154,884","154,461","151,881","149,839","147,064","142,142","137,975"
Northeastern Region,Nakhon Ratchasima Province,Oct-14,"167,498","163,303","163,193","161,989","160,867","160,083","159,609","157,725","155,144","155,133","155,156"
Northeastern Region,Nakhon Ratchasima Province,15  -  19,"191,862","189,264","184,409","179,268","172,935","166,258","162,569","162,334","161,647","160,872","160,419"
Northeastern Region,Nakhon Ratchasima Province,20  -  24,"185,629","187,210","187,556","186,807","187,021","187,761","186,855","182,200","177,537","171,902","166,191"
Northeastern Region,Nakhon Ratchasima Province,25  -  29,"192,619","187,898","184,629","182,817","182,621","184,951","187,201","187,657","188,206","189,064","190,199"
Northeastern Region,Nakhon Ratchasima Province,30  -  34,"216,901","211,551","205,460","200,736","194,163","188,482","184,124","181,121","179,065","179,316","182,215"
Northeastern Region,Nakhon Ratchasima Province,35  -  39,"222,231","221,654","222,271","220,500","217,638","212,274","207,196","201,144","196,817","190,717","185,560"
Northeastern Region,Nakhon Ratchasima Province,40  -  44,"223,805","221,401","220,791","219,512","217,560","217,862","217,516","218,042","216,259","213,350","208,669"
Northeastern Region,Nakhon Ratchasima Province,45  -  49,"208,169","210,808","211,149","213,115","217,268","218,343","216,933","216,572","215,286","213,312","213,985"
Northeastern Region,Nakhon Ratchasima Province,50  -  54,"174,114","179,520","186,125","191,225","195,847","201,971","205,827","206,237","208,310","211,936","213,541"
Northeastern Region,Nakhon Ratchasima Province,55  -  59,"140,443","137,432","143,743","153,882","162,773","167,587","173,855","180,419","185,508","189,749","196,276"
Northeastern Region,Nakhon Ratchasima Province,60  -  64,"108,294","115,822","119,169","120,195","121,455","125,272","131,584","137,542","147,564","155,869","160,835"
Northeastern Region,Nakhon Ratchasima Province,65  -  69,"76,302","84,287","90,221","95,266","99,751","104,997","108,469","111,652","112,662","113,752","117,745"
Northeastern Region,Nakhon Ratchasima Province,70  -  74,"61,858","61,552","62,059","64,151","67,373","72,000","76,013","81,500","86,209","90,394","95,547"
Northeastern Region,Nakhon Ratchasima Province,75  -  79,"45,230","48,441","50,372","51,221","52,053","51,644","52,268","52,744","54,651","57,572","61,446"
Northeastern Region,Nakhon Ratchasima Province,80  -  84,"26,380","29,619","31,055","32,860","34,264","36,005","37,362","38,874","39,559","40,396","39,869"
Northeastern Region,Nakhon Ratchasima Province,85  -  89,"12,281","15,129","16,224","16,705","17,238","17,868","19,278","20,116","21,495","22,587","23,633"
Northeastern Region,Nakhon Ratchasima Province,90  -  94,"4,197","5,286","5,495","5,981","6,280","7,188","7,788","8,313","8,591","8,905","9,087"
Northeastern Region,Nakhon Ratchasima Province,95  -  99,"1,274","1,518","1,544","1,620","1,716","1,868","2,001","2,058","2,234","2,469","2,804"
Northeastern Region,Nakhon Ratchasima Province,100 and over,460,592,674,664,366,461,584,589,679,785,"1,002"
Northeastern Region,Nakhon Ratchasima Province,Unknown/lunar Calendar,80,24,24,24,4,4,4,4,4,1,1
Northeastern Region,Nakhon Ratchasima Province,Population Registered in House Registration and Non  -  Thai nationalities,"1,526","1,584","2,098","2,784","2,796","2,975","3,218","3,364","3,434","3,547",
Northeastern Region,Nakhon Ratchasima Province,Population Registered in Central House Registration,"21,730","21,826","21,624","21,979","19,730","19,992","20,176","20,826","5,715","6,680",
Northeastern Region,Nakhon Ratchasima Province, Transferring population,"4,624","4,409","4,670","4,907","4,810","4,631","4,508","4,618","1,048",766,
Northeastern Region,Buri Ram Province,Total,"1,566,740","1,573,438","1,579,248","1,584,661","1,587,897","1,591,905","1,594,850","1,595,747","1,581,184","1,579,805","1,576,915"
Northeastern Region,Buri Ram Province,0 - 4,"99,169","97,831","96,204","94,070","90,413","86,587","83,709","80,018","76,798","73,033","69,092"
Northeastern Region,Buri Ram Province,5-Sep,"105,187","104,176","102,389","100,708","100,753","100,495","99,393","97,778","95,541","91,888","88,343"
Northeastern Region,Buri Ram Province,Oct-14,"111,451","108,138","107,231","106,317","105,010","104,577","103,618","102,028","100,640","100,795","100,913"
Northeastern Region,Buri Ram Province,15  -  19,"126,985","125,544","122,790","119,174","114,860","110,066","106,999","106,199","105,629","104,464","104,023"
Northeastern Region,Buri Ram Province,20  -  24,"112,127","115,435","118,473","119,500","120,555","120,344","118,651","116,122","113,398","109,137","105,524"
Northeastern Region,Buri Ram Province,25  -  29,"115,766","112,229","109,207","108,190","109,736","112,875","115,997","119,046","120,422","121,310","121,537"
Northeastern Region,Buri Ram Province,30  -  34,"130,695","127,933","124,215","121,317","116,842","111,801","108,457","105,389","104,096","105,683","108,954"
Northeastern Region,Buri Ram Province,35  -  39,"136,088","133,160","131,315","130,672","129,075","126,694","124,129","120,249","117,233","112,878","108,040"
Northeastern Region,Buri Ram Province,40  -  44,"133,292","134,337","135,437","135,197","134,156","133,091","130,415","128,451","127,632","125,641","123,353"
Northeastern Region,Buri Ram Province,45  -  49,"116,013","118,638","121,397","123,509","127,852","130,151","131,410","132,493","132,106","130,859","130,068"
Northeastern Region,Buri Ram Province,50  -  54,"93,047","97,846","101,926","104,864","108,051","112,699","115,547","118,166","120,203","124,130","126,680"
Northeastern Region,Buri Ram Province,55  -  59,"77,384","75,450","78,285","83,434","87,013","89,535","94,616","98,511","101,467","104,355","109,068"
Northeastern Region,Buri Ram Province,60  -  64,"62,152","65,207","66,285","66,897","67,684","69,731","72,021","74,657","79,535","82,940","85,670"
Northeastern Region,Buri Ram Province,65  -  69,"44,525","48,911","51,881","54,679","56,809","59,353","60,866","61,935","62,526","63,221","65,470"
Northeastern Region,Buri Ram Province,70  -  74,"34,482","34,798","35,836","36,860","38,937","41,143","43,890","46,676","49,258","51,114","53,566"
Northeastern Region,Buri Ram Province,75  -  79,"24,713","26,353","27,298","27,918","28,528","29,206","29,515","30,364","31,212","32,969","34,879"
Northeastern Region,Buri Ram Province,80  -  84,"14,395","15,977","16,837","17,917","18,791","19,333","20,146","20,970","21,383","21,906","22,267"
Northeastern Region,Buri Ram Province,85  -  89,"6,145","7,520","8,276","8,693","9,075","9,650","10,392","10,900","11,667","12,233","12,529"
Northeastern Region,Buri Ram Province,90  -  94,"2,147","2,535","2,656","2,889","3,062","3,500","3,904","4,245","4,458","4,747","4,884"
Northeastern Region,Buri Ram Province,95  -  99,758,836,845,899,869,946,989,"1,081","1,212","1,280","1,446"
Northeastern Region,Buri Ram Province,100 and over,495,564,606,636,244,315,379,378,418,492,609
Northeastern Region,Buri Ram Province,Unknown/lunar Calendar,10,4,4,4,-,-,-,-,-,-,-
Northeastern Region,Buri Ram Province,Population Registered in House Registration and Non  -  Thai nationalities,695,769,932,"1,453","1,505","1,623","1,747","1,854","1,944","2,036",
Northeastern Region,Buri Ram Province,Population Registered in Central House Registration,"16,115","16,107","15,988","16,109","15,555","15,613","15,622","15,781","2,013","2,309",
Northeastern Region,Buri Ram Province, Transferring population,"2,904","3,140","2,935","2,755","2,522","2,577","2,438","2,456",393,385,
Northeastern Region,Surin Province,Total,"1,386,277","1,388,194","1,391,636","1,395,024","1,395,567","1,397,180","1,397,857","1,396,831","1,378,221","1,376,230","1,372,910"
Northeastern Region,Surin Province,0 - 4,"85,284","84,408","83,272","81,456","78,574","75,256","72,719","69,468","66,757","63,636","60,382"
Northeastern Region,Surin Province,5-Sep,"90,253","89,344","87,992","86,621","86,396","86,339","85,372","84,109","82,576","79,784","76,794"
Northeastern Region,Surin Province,Oct-14,"97,611","93,447","91,952","90,636","89,683","89,391","88,509","87,309","86,014","85,982","86,220"
Northeastern Region,Surin Province,15  -  19,"112,806","111,590","108,798","105,549","101,067","96,017","92,068","90,678","89,569","88,936","88,672"
Northeastern Region,Surin Province,20  -  24,"101,012","103,840","106,011","106,250","106,265","106,477","105,560","103,063","100,208","95,958","92,179"
Northeastern Region,Surin Province,25  -  29,"106,501","102,298","99,082","98,505","99,399","101,472","104,384","106,699","106,880","107,080","107,430"
Northeastern Region,Surin Province,30  -  34,"113,900","113,351","111,783","109,873","106,975","102,327","98,187","94,794","94,470","95,289","97,364"
Northeastern Region,Surin Province,35  -  39,"115,314","112,562","111,685","111,759","110,624","109,637","109,126","107,258","105,475","102,723","98,308"
Northeastern Region,Surin Province,40  -  44,"112,966","113,058","113,332","113,259","111,901","111,826","109,414","108,396","108,298","106,986","106,114"
Northeastern Region,Surin Province,45  -  49,"100,320","101,634","103,167","104,490","108,048","109,302","109,843","110,163","110,117","108,766","108,794"
Northeastern Region,Surin Province,50  -  54,"84,133","88,683","91,415","92,912","94,231","96,891","98,509","100,056","101,279","104,801","106,243"
Northeastern Region,Surin Province,55  -  59,"68,969","66,952","70,154","75,422","78,352","80,706","85,347","87,912","89,293","90,543","93,300"
Northeastern Region,Surin Province,60  -  64,"55,612","57,965","58,574","58,765","60,606","62,142","63,548","66,566","71,773","74,499","76,951"
Northeastern Region,Surin Province,65  -  69,"40,301","44,104","47,003","49,087","50,481","52,552","53,715","54,383","54,578","56,368","58,106"
Northeastern Region,Surin Province,70  -  74,"32,873","32,623","32,968","33,643","34,870","36,529","39,374","41,983","43,877","45,157","47,206"
Northeastern Region,Surin Province,75  -  79,"23,313","24,397","25,007","25,565","26,634","27,354","27,249","27,650","28,242","29,290","30,783"
Northeastern Region,Surin Province,80  -  84,"13,498","15,108","16,037","16,706","17,266","17,740","18,395","18,967","19,494","20,333","20,870"
Northeastern Region,Surin Province,85  -  89,"5,698","6,863","7,416","7,896","8,100","8,776","9,533","10,084","10,597","11,016","11,379"
Northeastern Region,Surin Province,90  -  94,"2,024","2,293","2,413","2,570","2,699","2,895","3,284","3,595","3,934","4,066","4,260"
Northeastern Region,Surin Province,95  -  99,534,629,624,670,739,791,836,874,930,986,"1,101"
Northeastern Region,Surin Province,100 and over,330,296,317,348,163,216,254,262,324,399,454
Northeastern Region,Surin Province,Unknown/lunar Calendar,55,3,3,3,1,1,1,-,-,-,-
Northeastern Region,Surin Province,Population Registered in House Registration and Non  -  Thai nationalities,484,536,657,947,"1,014","1,112","1,217","1,332","1,384","1,446",
Northeastern Region,Surin Province,Population Registered in Central House Registration,"19,880","19,848","19,795","19,854","19,283","19,333","19,431","19,447","1,720","1,838",
Northeastern Region,Surin Province, Transferring population,"2,606","2,362","2,179","2,238","2,196","2,098","1,982","1,783",432,348,
Northeastern Region,Si Sa Ket Province,Total,"1,458,370","1,462,028","1,465,213","1,468,798","1,470,341","1,472,031","1,473,011","1,472,859","1,458,580","1,457,556","1,454,730"
Northeastern Region,Si Sa Ket Province,0 - 4,"87,984","86,733","85,146","83,029","80,183","76,677","73,827","70,885","68,602","65,813","62,522"
Northeastern Region,Si Sa Ket Province,5-Sep,"91,582","91,149","90,596","90,102","89,722","89,277","88,076","86,331","84,273","81,745","78,577"
Northeastern Region,Si Sa Ket Province,Oct-14,"102,465","98,026","95,045","92,506","91,107","91,018","90,816","90,454","90,015","89,713","89,451"
Northeastern Region,Si Sa Ket Province,15  -  19,"118,757","117,301","114,524","110,704","106,157","101,152","96,888","94,050","91,510","90,491","90,401"
Northeastern Region,Si Sa Ket Province,20  -  24,"105,051","107,125","108,853","110,029","111,226","111,377","109,637","107,466","104,028","99,869","96,218"
Northeastern Region,Si Sa Ket Province,25  -  29,"111,518","108,760","106,210","104,989","105,011","105,946","107,796","109,434","110,837","112,223","112,677"
Northeastern Region,Si Sa Ket Province,30  -  34,"121,282","120,011","117,628","114,530","111,136","107,270","104,440","101,910","100,624","100,710","101,774"
Northeastern Region,Si Sa Ket Province,35  -  39,"127,379","124,535","121,476","120,247","118,783","117,050","115,544","113,211","110,198","106,763","103,259"
Northeastern Region,Si Sa Ket Province,40  -  44,"125,604","125,085","126,905","126,721","125,065","123,946","121,352","118,104","116,985","115,472","113,807"
Northeastern Region,Si Sa Ket Province,45  -  49,"110,521","113,167","115,341","117,997","120,804","122,008","122,238","123,975","123,733","121,945","121,178"
Northeastern Region,Si Sa Ket Province,50  -  54,"89,836","94,279","97,237","99,855","103,267","107,139","110,295","112,395","114,993","117,748","119,093"
Northeastern Region,Si Sa Ket Province,55  -  59,"72,581","72,050","75,965","80,981","84,224","86,594","91,021","93,962","96,475","99,673","103,686"
Northeastern Region,Si Sa Ket Province,60  -  64,"58,312","60,507","61,122","61,430","62,836","65,870","68,334","72,164","76,955","80,047","82,500"
Northeastern Region,Si Sa Ket Province,65  -  69,"42,061","45,566","48,097","50,563","52,344","54,578","55,873","56,558","56,874","58,277","61,373"
Northeastern Region,Si Sa Ket Province,70  -  74,"33,573","33,810","34,610","35,504","36,843","38,067","40,446","42,881","45,140","46,696","48,739"
Northeastern Region,Si Sa Ket Province,75  -  79,"21,847","23,331","24,384","25,477","26,521","27,701","28,204","28,933","29,808","31,010","32,084"
Northeastern Region,Si Sa Ket Province,80  -  84,"12,663","13,899","14,655","15,432","16,133","16,516","17,466","18,388","19,297","20,177","21,132"
Northeastern Region,Si Sa Ket Province,85  -  89,"5,381","6,338","6,742","7,180","7,586","8,228","8,813","9,319","9,826","10,279","10,601"
Northeastern Region,Si Sa Ket Province,90  -  94,"1,889","2,209","2,238","2,412","2,539","2,782","3,095","3,290","3,579","3,834","4,087"
Northeastern Region,Si Sa Ket Province,95  -  99,554,667,641,676,704,751,803,800,839,963,"1,090"
Northeastern Region,Si Sa Ket Province,100 and over,224,206,209,253,183,245,273,274,325,378,477
Northeastern Region,Si Sa Ket Province,Unknown/lunar Calendar,34,8,6,6,5,5,5,5,5,4,4
Northeastern Region,Si Sa Ket Province,Population Registered in House Registration and Non  -  Thai nationalities,386,414,509,963,970,"1,008","1,041","1,139","1,175","1,225",
Northeastern Region,Si Sa Ket Province,Population Registered in Central House Registration,"15,081","15,054","15,444","15,477","15,195","15,228","15,340","15,385","2,119","2,049",
Northeastern Region,Si Sa Ket Province, Transferring population,"1,805","1,798","1,630","1,735","1,797","1,598","1,388","1,546",365,452,
Northeastern Region,Ubon Ratchathani Province,Total,"1,826,920","1,836,523","1,844,669","1,857,429","1,862,965","1,869,633","1,874,548","1,878,146","1,866,697","1,868,519","1,869,806"
Northeastern Region,Ubon Ratchathani Province,0 - 4,"116,650","115,159","113,377","110,834","106,821","102,284","99,026","95,598","92,801","89,353","86,084"
Northeastern Region,Ubon Ratchathani Province,5-Sep,"121,596","120,912","119,426","117,944","117,822","117,789","116,285","114,343","112,137","108,567","104,674"
Northeastern Region,Ubon Ratchathani Province,Oct-14,"131,995","127,855","125,317","123,555","122,249","121,238","120,537","119,038","117,846","117,982","118,508"
Northeastern Region,Ubon Ratchathani Province,15  -  19,"150,544","148,639","145,992","141,640","136,136","131,286","127,158","124,411","122,893","121,902","121,762"
Northeastern Region,Ubon Ratchathani Province,20  -  24,"142,623","144,047","144,682","145,386","145,993","145,566","143,290","141,037","137,197","131,875","128,368"
Northeastern Region,Ubon Ratchathani Province,25  -  29,"139,637","138,660","138,021","138,027","139,549","141,687","142,850","143,932","145,187","145,856","146,068"
Northeastern Region,Ubon Ratchathani Province,30  -  34,"150,678","149,422","145,602","142,041","139,264","135,873","134,810","133,980","134,064","135,772","139,030"
Northeastern Region,Ubon Ratchathani Province,35  -  39,"155,341","152,926","150,446","149,830","148,242","147,390","146,010","141,957","138,544","135,729","133,387"
Northeastern Region,Ubon Ratchathani Province,40  -  44,"158,060","155,669","157,787","157,115","154,817","152,950","150,506","148,040","147,135","145,393","145,432"
Northeastern Region,Ubon Ratchathani Province,45  -  49,"133,602","140,884","144,552","149,055","152,494","155,093","153,245","155,330","154,636","152,236","151,291"
Northeastern Region,Ubon Ratchathani Province,50  -  54,"108,836","113,430","117,629","120,889","125,612","130,710","137,925","141,674","146,151","149,210","152,722"
Northeastern Region,Ubon Ratchathani Province,55  -  59,"88,177","87,528","91,991","97,356","101,578","105,260","109,947","114,090","117,244","121,828","127,652"
Northeastern Region,Ubon Ratchathani Province,60  -  64,"70,167","72,905","74,405","75,507","77,425","80,316","83,510","87,903","93,134","97,066","101,333"
Northeastern Region,Ubon Ratchathani Province,65  -  69,"46,049","51,276","55,283","59,573","63,425","66,276","67,731","69,210","70,410","72,177","75,578"
Northeastern Region,Ubon Ratchathani Province,70  -  74,"37,703","38,206","38,689","39,356","40,318","42,130","45,741","49,377","53,337","56,757","59,716"
Northeastern Region,Ubon Ratchathani Province,75  -  79,"25,448","26,414","27,784","28,946","30,152","31,298","31,832","32,210","32,897","33,678","35,455"
Northeastern Region,Ubon Ratchathani Province,80  -  84,"16,184","17,607","18,103","18,427","18,881","19,182","19,826","21,004","21,854","22,753","23,746"
Northeastern Region,Ubon Ratchathani Province,85  -  89,"6,780","8,146","8,658","9,201","9,760","10,483","11,134","11,488","11,717","11,972","12,131"
Northeastern Region,Ubon Ratchathani Province,90  -  94,"2,351","2,747","2,900","3,002","3,131","3,538","3,936","4,129","4,432","4,769","5,135"
Northeastern Region,Ubon Ratchathani Province,95  -  99,635,693,726,827,853,923,986,"1,037","1,057","1,116","1,255"
Northeastern Region,Ubon Ratchathani Province,100 and over,264,287,300,311,187,231,261,270,341,391,479
Northeastern Region,Ubon Ratchathani Province,Unknown/lunar Calendar,68,1,1,1,-,-,-,-,1,-,-
Northeastern Region,Ubon Ratchathani Province,Population Registered in House Registration and Non  -  Thai nationalities,"1,521","1,552","1,711","7,326","7,285","7,284","7,279","7,270","7,773","7,909",
Northeastern Region,Ubon Ratchathani Province,Population Registered in Central House Registration,"17,730","17,520","17,517","17,544","17,224","17,282","17,292","17,430","3,047","3,488",
Northeastern Region,Ubon Ratchathani Province, Transferring population,"4,281","4,038","3,770","3,736","3,747","3,564","3,431","3,388",862,740,
Northeastern Region,Yasothon Province,Total,"540,267","540,383","540,211","540,182","539,815","539,542","538,729","537,299","534,500","533,394","531,599"
Northeastern Region,Yasothon Province,0 - 4,"29,525","29,173","28,745","28,194","27,238","25,921","24,704","23,609","22,782","21,886","20,804"
Northeastern Region,Yasothon Province,5-Sep,"31,074","30,885","30,258","29,906","29,814","29,945","29,596","29,274","28,770","27,958","26,751"
Northeastern Region,Yasothon Province,Oct-14,"34,887","33,283","32,507","31,472","30,978","30,643","30,466","29,915","29,784","29,849","30,150"
Northeastern Region,Yasothon Province,15  -  19,"41,213","40,325","39,328","37,971","36,002","34,163","32,653","31,873","30,991","30,732","30,396"
Northeastern Region,Yasothon Province,20  -  24,"39,387","39,411","39,413","39,225","39,281","39,246","38,715","37,811","36,477","34,385","33,045"
Northeastern Region,Yasothon Province,25  -  29,"40,439","39,440","38,464","38,149","38,480","38,629","38,973","39,216","39,348","39,304","39,514"
Northeastern Region,Yasothon Province,30  -  34,"43,101","42,714","41,749","40,779","39,736","38,571","37,630","36,582","36,298","36,727","37,047"
Northeastern Region,Yasothon Province,35  -  39,"48,235","46,383","44,736","43,653","42,377","41,481","41,001","40,107","39,167","38,090","37,133"
Northeastern Region,Yasothon Province,40  -  44,"51,062","50,089","49,972","49,185","48,023","46,814","45,091","43,432","42,430","41,267","40,413"
Northeastern Region,Yasothon Province,45  -  49,"43,354","45,533","46,975","48,257","49,217","49,768","48,920","48,741","47,942","46,769","45,673"
Northeastern Region,Yasothon Province,50  -  54,"35,957","37,202","38,078","39,126","40,625","42,149","44,278","45,648","46,919","47,801","48,315"
Northeastern Region,Yasothon Province,55  -  59,"29,646","30,056","31,699","33,200","33,926","34,651","35,813","36,666","37,641","39,078","40,633"
Northeastern Region,Yasothon Province,60  -  64,"23,254","24,041","24,305","24,766","25,877","27,216","28,368","29,920","31,434","32,169","32,850"
Northeastern Region,Yasothon Province,65  -  69,"17,578","18,673","19,564","20,536","21,098","21,352","21,941","22,215","22,733","23,738","25,055"
Northeastern Region,Yasothon Province,70  -  74,"12,693","13,120","13,525","13,992","14,791","15,529","16,323","17,100","17,927","18,486","18,705"
Northeastern Region,Yasothon Province,75  -  79,"8,254","8,554","9,068","9,452","9,819","10,344","10,623","10,960","11,325","11,998","12,622"
Northeastern Region,Yasothon Province,80  -  84,"4,762","5,263","5,486","5,601","5,734","5,913","6,108","6,459","6,778","7,033","7,422"
Northeastern Region,Yasothon Province,85  -  89,"1,886","2,111","2,223","2,451","2,604","2,811","3,026","3,177","3,262","3,430","3,498"
Northeastern Region,Yasothon Province,90  -  94,654,705,726,749,772,876,970,988,"1,066","1,164","1,230"
Northeastern Region,Yasothon Province,95  -  99,147,164,166,173,208,214,216,221,220,246,275
Northeastern Region,Yasothon Province,100 and over,47,58,58,63,43,54,59,38,50,59,68
Northeastern Region,Yasothon Province,Unknown/lunar Calendar,24,17,17,16,1,1,1,-,-,-,-
Northeastern Region,Yasothon Province,Population Registered in House Registration and Non  -  Thai nationalities,141,148,169,242,253,272,303,323,333,332,
Northeastern Region,Yasothon Province,Population Registered in Central House Registration,"2,358","2,362","2,361","2,356","2,282","2,270","2,261","2,349",705,807,
Northeastern Region,Yasothon Province, Transferring population,589,673,619,668,636,709,690,675,118,86,
Northeastern Region,Chaiyaphum Province,Total,"1,133,034","1,135,723","1,137,049","1,138,252","1,138,199","1,139,356","1,138,777","1,137,357","1,124,924","1,122,265","1,117,925"
Northeastern Region,Chaiyaphum Province,0 - 4,"65,387","64,583","63,303","61,844","59,764","57,144","54,990","52,628","50,501","48,088","45,593"
Northeastern Region,Chaiyaphum Province,5-Sep,"68,256","67,659","66,953","66,155","65,909","65,672","64,946","63,678","62,476","60,502","58,138"
Northeastern Region,Chaiyaphum Province,Oct-14,"71,249","69,113","68,494","67,760","67,459","67,507","67,032","66,550","65,660","65,583","65,500"
Northeastern Region,Chaiyaphum Province,15  -  19,"83,023","81,291","78,717","76,355","73,470","70,133","68,026","67,390","66,903","66,785","66,861"
Northeastern Region,Chaiyaphum Province,20  -  24,"79,417","80,485","80,406","79,529","78,778","78,313","76,411","74,332","71,957","69,314","66,418"
Northeastern Region,Chaiyaphum Province,25  -  29,"81,634","79,915","78,636","78,121","78,514","80,047","81,139","81,341","80,875","80,133","79,457"
Northeastern Region,Chaiyaphum Province,30  -  34,"87,472","86,260","84,686","83,232","81,354","79,070","77,261","75,918","75,330","75,736","77,233"
Northeastern Region,Chaiyaphum Province,35  -  39,"92,675","90,487","88,447","87,606","86,920","84,990","83,610","81,945","80,396","78,516","76,518"
Northeastern Region,Chaiyaphum Province,40  -  44,"100,964","98,416","97,925","95,640","92,347","90,665","88,702","86,504","85,640","84,716","82,956"
Northeastern Region,Chaiyaphum Province,45  -  49,"92,648","95,983","96,237","96,899","98,311","98,086","96,437","96,041","93,669","90,313","88,635"
Northeastern Region,Chaiyaphum Province,50  -  54,"78,368","79,736","82,726","84,773","87,025","90,042","93,734","94,020","94,806","95,979","95,933"
Northeastern Region,Chaiyaphum Province,55  -  59,"64,962","65,248","67,765","70,941","73,364","75,249","77,127","80,092","82,025","84,162","87,154"
Northeastern Region,Chaiyaphum Province,60  -  64,"51,390","53,222","54,556","56,377","57,904","59,840","61,946","64,324","67,447","69,788","71,766"
Northeastern Region,Chaiyaphum Province,65  -  69,"35,745","39,658","42,344","44,903","46,639","48,282","49,298","50,486","52,174","53,547","55,425"
Northeastern Region,Chaiyaphum Province,70  -  74,"28,202","28,049","28,640","28,941","30,670","32,575","35,097","37,482","39,727","41,204","42,936"
Northeastern Region,Chaiyaphum Province,75  -  79,"19,385","20,831","21,492","22,267","22,555","22,956","22,959","23,491","23,762","25,333","26,820"
Northeastern Region,Chaiyaphum Province,80  -  84,"11,502","12,486","13,011","13,576","14,199","14,729","15,249","15,741","16,327","16,550","16,791"
Northeastern Region,Chaiyaphum Province,85  -  89,"4,533","5,601","6,041","6,427","6,726","7,252","7,716","7,931","8,357","8,733","9,006"
Northeastern Region,Chaiyaphum Province,90  -  94,"1,637","1,900","1,981","2,043","2,156","2,408","2,615","2,840","3,078","3,249","3,469"
Northeastern Region,Chaiyaphum Province,95  -  99,479,540,556,609,611,654,689,725,756,819,950
Northeastern Region,Chaiyaphum Province,100 and over,291,294,331,320,129,178,215,217,270,285,366
Northeastern Region,Chaiyaphum Province,Unknown/lunar Calendar,16,3,3,3,-,-,-,-,-,-,-
Northeastern Region,Chaiyaphum Province,Population Registered in House Registration and Non  -  Thai nationalities,450,518,600,798,846,904,981,"1,061","1,096","1,137",
Northeastern Region,Chaiyaphum Province,Population Registered in Central House Registration,"11,980","11,944","11,892","11,857","11,470","11,464","11,467","11,496","1,290","1,527",
Northeastern Region,Chaiyaphum Province, Transferring population,"1,369","1,501","1,307","1,276","1,079","1,196","1,130","1,124",402,266,
Northeastern Region,Amnat Charoen Province,Total,"373,494","374,698","375,380","376,382","377,120","378,107","378,621","378,438","376,195","376,350","375,382"
Northeastern Region,Amnat Charoen Province,0 - 4,"21,826","21,508","21,336","20,789","19,992","19,434","18,833","18,077","17,665","17,228","16,210"
Northeastern Region,Amnat Charoen Province,5-Sep,"23,214","23,125","22,640","22,314","22,165","22,026","21,777","21,538","21,079","20,362","19,906"
Northeastern Region,Amnat Charoen Province,Oct-14,"25,326","24,204","23,732","23,274","23,239","23,072","22,987","22,521","22,249","22,238","22,155"
Northeastern Region,Amnat Charoen Province,15  -  19,"30,011","29,383","28,363","27,386","26,112","25,011","23,948","23,425","23,048","23,003","22,799"
Northeastern Region,Amnat Charoen Province,20  -  24,"28,546","28,674","28,886","28,797","28,578","28,234","27,680","26,756","25,828","24,561","23,694"
Northeastern Region,Amnat Charoen Province,25  -  29,"28,112","27,914","27,635","27,627","28,245","28,771","29,025","29,430","29,390","29,171","28,725"
Northeastern Region,Amnat Charoen Province,30  -  34,"30,217","29,957","29,265","28,510","27,756","27,135","26,852","26,533","26,606","27,084","27,639"
Northeastern Region,Amnat Charoen Province,35  -  39,"31,731","30,934","30,066","29,920","29,622","29,379","29,046","28,325","27,611","26,877","26,190"
